From Bank,To Bank,Amount Paid,Payment Currency,Payment Format,Is Laundering,Hour,Dayofweek
70,11,591649.27,Yuan,Cash,1,4,3
70,36242,1363.89,Canadian Dollar,Cheque,1,4,3
53937,52788,274.35,Swiss Franc,ACH,1,4,3
15168,28335,42843.48,Yuan,ACH,1,5,3
127530,222433,1168.81,US Dollar,ACH,1,5,3
260383,34978,4092.29,US Dollar,ACH,1,5,3
11,0,3530.2,Euro,ACH,1,5,3
0,3,3530.2,Euro,ACH,1,6,3
3,11,4730.57,US Dollar,ACH,1,10,3
11,1768,4139.13,Euro,ACH,1,14,3
1768,1231,4723.36,US Dollar,ACH,1,11,4
1231,3,3849.15,Euro,ACH,1,13,4
3,1,4070.87,US Dollar,ACH,1,19,4
1,349,3861.85,US Dollar,ACH,1,9,5
349,20,3551.11,US Dollar,ACH,1,1,6
20,224,3271.85,US Dollar,ACH,1,12,6
70,6971,18889.07,Euro,Credit Card,1,5,3
144292,247758,23150.48,Euro,ACH,1,5,3
70,238186,60647.39,Euro,Cheque,1,5,3
70,63587,23938.53,Saudi Riyal,Cheque,1,5,3
70,1217,29.76,US Dollar,Cheque,1,6,3
70,1394,15935.79,US Dollar,Cash,1,6,3
126688,140981,334.34,US Dollar,ACH,1,6,3
70,1835,1323.16,Euro,Cheque,1,6,3
70,498,2452.22,Euro,Credit Card,1,6,3
28560,118293,13178.45,Euro,Cheque,1,6,3
248756,11,19155.34,Brazil Real,ACH,1,6,3
70,74785,0.037278,Bitcoin,Bitcoin,1,6,3
1110,1394,1650.73,US Dollar,ACH,1,6,3
48074,11337,3177.08,US Dollar,ACH,1,6,3
26,1394,4226.58,US Dollar,ACH,1,6,3
1394,20,3970.01,US Dollar,ACH,1,12,5
26,394,19382.19,US Dollar,ACH,1,4,4
394,20,19382.19,US Dollar,ACH,1,14,5
26,531,12052.39,US Dollar,ACH,1,4,4
531,20,12052.39,US Dollar,ACH,1,11,6
26,1217,10530.92,US Dollar,ACH,1,0,5
1217,20,10530.92,US Dollar,ACH,1,12,6
26,13125,9741.1,US Dollar,ACH,1,11,5
13125,20,11897.97,US Dollar,ACH,1,15,6
26,423,16625.04,Euro,ACH,1,12,5
423,20,22259.34,US Dollar,ACH,1,1,0
70,124359,566594040.72,Rupee,Cheque,1,6,3
42646,141632,3410.36,Australian Dollar,ACH,1,6,3
5206,5687,2127.53,US Dollar,ACH,1,7,3
70,4187,212.16,US Dollar,Cash,1,7,3
70,137029,417511.15,US Dollar,Cheque,1,7,3
28665,5436,1521.05,Euro,ACH,1,7,3
70,121254,1814258.07,Yen,Cheque,1,7,3
24816,24816,29604.37,Rupee,ACH,1,7,3
70,25520,4286015.42,Rupee,Cheque,1,7,3
70,10,104451.93,Brazil Real,Credit Card,1,7,3
63779,264772,15988.99,Saudi Riyal,ACH,1,7,3
5571,242676,117411910.38,US Dollar,ACH,1,7,3
17213,17213,166605.14,Yuan,ACH,1,7,3
70,235943,10.65,Canadian Dollar,Credit Card,1,7,3
115,115,17098.78,Saudi Riyal,ACH,1,7,3
165362,167131,6437.42,Saudi Riyal,ACH,1,7,3
23410,5617,4369.46,US Dollar,ACH,1,8,3
70,1768,399.85,Euro,Cheque,1,8,3
12274,14172,12943.96,Euro,ACH,1,8,3
14172,12274,11387.41,Euro,ACH,1,4,3
70,210858,761.49,Yuan,Credit Card,1,8,3
70,41916,62.38,Australian Dollar,Credit Card,1,8,3
70,31730,18841.18,US Dollar,Credit Card,1,8,3
70,218303,3979.98,Euro,Credit Card,1,8,3
110164,9856,32834.21,Yuan,ACH,1,8,3
118213,20511,28672.86,Yen,ACH,1,8,3
241204,142513,3352.84,Australian Dollar,ACH,1,8,3
45444,141846,3766.33,Australian Dollar,ACH,1,8,3
21566,239457,1129.06,US Dollar,ACH,1,9,3
70,3653,8744.55,US Dollar,Credit Card,1,9,3
70,1595,566.5,Euro,Credit Card,1,9,3
12386,1776,1397.38,Euro,ACH,1,9,3
6829,227006,2922.8,Euro,ACH,1,9,3
70,264772,4065.0,Saudi Riyal,Cheque,1,9,3
2860,5617,4116.23,US Dollar,ACH,1,9,3
70,116703,459.71,US Dollar,Cash,1,9,3
40122,11968,3098.33,US Dollar,ACH,1,9,3
1768,14,2403.51,Euro,ACH,1,9,3
11,11,14378.02,Euro,ACH,1,9,3
11,11046,18570.69,US Dollar,ACH,1,11,3
11046,3,17549.32,Euro,ACH,1,12,4
3,22264,15907.36,Euro,ACH,1,8,5
12202,114983,604229462.16,Euro,ACH,1,9,3
17,136474,690.04,Canadian Dollar,ACH,1,9,3
70,1638,5939.03,US Dollar,Cheque,1,10,3
70,211374,596.61,US Dollar,Credit Card,1,10,3
70,8884,5934.94,Euro,Cheque,1,10,3
236908,137117,3125.44,Canadian Dollar,ACH,1,10,3
245681,19,12875.77,Mexican Peso,ACH,1,10,3
110856,9715,4805.72,US Dollar,ACH,1,10,3
21260,239440,4885.53,US Dollar,ACH,1,10,3
3460,23726,1173.07,Euro,ACH,1,10,3
3460,14213,14598.87,Euro,ACH,1,21,3
3460,20,15506.59,US Dollar,ACH,1,16,6
25788,7522,4133.58,Euro,ACH,1,10,3
22026,19296,1318.82,Euro,ACH,1,10,3
70,18,3101.86,Ruble,Credit Card,1,10,3
70,246269,13573718.89,Mexican Peso,Cheque,1,10,3
18,152768,2795.58,Swiss Franc,ACH,1,10,3
70,258799,4412.94,Shekel,Credit Card,1,10,3
70,170558,0.021878,Bitcoin,Bitcoin,1,10,3
5621,1422,8403.67,US Dollar,ACH,1,11,3
215721,218057,1398.4,US Dollar,ACH,1,11,3
70,25788,2578.28,Euro,Cheque,1,11,3
70,157900,966.42,Shekel,Cheque,1,11,3
229487,21393,785.59,US Dollar,ACH,1,11,3
70,16293,83.61,Euro,Cash,1,11,3
70,10881,55.15,Euro,Cheque,1,11,3
21531,21643,47572.24,Yen,ACH,1,11,3
110,40989,4142.32,Australian Dollar,ACH,1,11,3
253402,53736,29542.13,Swiss Franc,Cheque,1,11,3
254308,215191,2997.24,US Dollar,ACH,1,12,3
70,21876,98113.42,Euro,Cheque,1,12,3
70,2293,152.53,Euro,Credit Card,1,12,3
70,25307,911.59,Euro,Credit Card,1,12,3
18121,225312,2349.01,Euro,ACH,1,12,3
219815,23848,4012.58,Euro,ACH,1,12,3
122416,170061,4123.3,Euro,ACH,1,12,3
17213,17213,26849.05,Yuan,ACH,1,12,3
119073,29592,269799.36,Yen,ACH,1,12,3
231975,232081,335091.42,Ruble,ACH,1,12,3
70,112,19.73,Swiss Franc,Cheque,1,12,3
112,157900,10209.65,Shekel,ACH,1,12,3
70,59642,346880.49,Shekel,Cheque,1,12,3
215187,24950,3053.34,US Dollar,ACH,1,12,3
215107,31694,4452.5,US Dollar,ACH,1,12,3
67633,25242,4498.56,US Dollar,ACH,1,12,3
70,14640,408.59,Euro,Cheque,1,12,3
70,217519,151.07,Euro,Cheque,1,12,3
66647,1595,945.31,Euro,ACH,1,12,3
29640,17579,288589.74,Yen,ACH,1,12,3
70,20,108.02,US Dollar,Cheque,1,13,3
70,394,416.48,US Dollar,Cheque,1,13,3
70,27,216.49,Yuan,Cheque,1,13,3
70,21652,8337.39,Yen,Cheque,1,13,3
117286,20511,70862.19,Yen,ACH,1,13,3
142114,42004,4079.56,Australian Dollar,ACH,1,13,3
14195,24027,1431.28,Euro,ACH,1,13,3
425,6681,2336.89,Euro,ACH,1,13,3
16298,21876,1081.44,Euro,ACH,1,13,3
70,263186,1486.56,Saudi Riyal,Credit Card,1,13,3
20,349,2723.92,US Dollar,ACH,1,14,3
70,15331,2083.17,US Dollar,Credit Card,1,14,3
70,18624,4715.62,Euro,Cheque,1,14,3
12055,137562,1887.48,Euro,ACH,1,14,3
225606,226937,149271.23,Rupee,ACH,1,14,3
394,112568,614.01,US Dollar,ACH,1,14,3
115690,0,4103.01,Euro,ACH,1,14,3
245768,215,48802.74,Mexican Peso,ACH,1,14,3
70,531,2354.16,US Dollar,Cheque,1,15,3
17803,21393,14446.76,US Dollar,ACH,1,15,3
70,11222,22905.88,US Dollar,Cheque,1,15,3
11495,531,12804.99,US Dollar,ACH,1,15,3
21566,531,12904.36,US Dollar,ACH,1,17,3
349,531,236349.74,US Dollar,ACH,1,2,4
11,531,10688.52,US Dollar,ACH,1,7,4
1595,531,6601.37,US Dollar,ACH,1,9,4
14,531,6396.29,US Dollar,ACH,1,11,4
1231,531,6224038.81,US Dollar,ACH,1,21,4
21260,531,14702.07,US Dollar,ACH,1,12,5
14172,531,18785.56,US Dollar,ACH,1,16,5
4790,531,4619.25,US Dollar,ACH,1,13,6
1812,531,6617.85,US Dollar,ACH,1,16,6
20,531,1643.31,US Dollar,ACH,1,12,0
13354,531,16385.9,US Dollar,ACH,1,14,0
70,217,11445.23,Saudi Riyal,Cheque,1,15,3
118,118,0.193558,Bitcoin,Bitcoin,1,15,3
3,1439,7757.88,US Dollar,ACH,1,9,5
1439,423,6254.47,Euro,ACH,1,9,0
2860,1110,16196.46,US Dollar,ACH,1,13,5
1110,1768,13533.23,Euro,ACH,1,4,0
0,20,774.62,Euro,ACH,1,8,5
20,18,94401.67,Yen,ACH,1,7,6
214000,233345,1010.32,US Dollar,ACH,1,15,3
70,7839,290.05,Euro,Cheque,1,15,3
70,148698,2553.85,Brazil Real,Cheque,1,15,3
163470,18,106741317.47,Saudi Riyal,ACH,1,15,3
70,21828,113.84,US Dollar,Cheque,1,16,3
70,1776,382.85,Euro,Cheque,1,16,3
70,132425,421445.64,Ruble,Credit Card,1,16,3
70,12204,3500.19,US Dollar,Cheque,1,16,3
26453,1889,8000.42,US Dollar,ACH,1,16,3
232746,213123,158.71,US Dollar,ACH,1,16,3
5981,118939,2684.94,Euro,ACH,1,16,3
22224,127004,14346.39,Euro,ACH,1,16,3
15875,127004,8251.18,Euro,ACH,1,13,4
14408,127004,8087.64,Euro,ACH,1,15,4
25634,127004,3268.21,Euro,ACH,1,21,4
215721,127004,9396.73,Euro,ACH,1,15,5
3671,127004,9281.67,Euro,ACH,1,3,6
3202,127004,2020.18,Euro,ACH,1,17,6
18326,127004,5717.87,Euro,ACH,1,11,0
70,21246,869644.72,US Dollar,Cheque,1,17,3
28195,28168,1483.86,US Dollar,ACH,1,17,3
70,13354,790.48,US Dollar,Cash,1,17,3
55436,1768,1830.21,Euro,ACH,1,17,3
219215,118213,485459.44,Yen,ACH,1,17,3
153802,254535,3379.12,Swiss Franc,ACH,1,17,3
124273,23,1958014.26,Yen,ACH,1,17,3
132776,23,203727.65,Yen,ACH,1,3,4
212,23,1031751.09,Yen,ACH,1,13,5
28625,23,642822.76,Yen,ACH,1,14,6
10,23,921106.82,Yen,ACH,1,9,0
18656,23,1091736.86,Yen,ACH,1,11,0
211738,228493,24701.08,Yuan,ACH,1,17,3
70,23,1968496.71,Yen,Credit Card,1,17,3
70,236335,512.71,Canadian Dollar,Credit Card,1,17,3
22661,13125,1775.14,US Dollar,ACH,1,18,3
70,1639,25804.95,US Dollar,Cheque,1,18,3
20798,122416,1540.22,Euro,ACH,1,18,3
112438,217215,2665.25,Euro,ACH,1,18,3
70,44580,13624.26,Australian Dollar,Cheque,1,18,3
70,27234,122.3,US Dollar,Cheque,1,18,3
116342,20,4926.94,US Dollar,ACH,1,18,3
70,22124,442.23,US Dollar,Cheque,1,18,3
120364,16262,309.98,US Dollar,ACH,1,18,3
137268,244647,2029.8,US Dollar,ACH,1,18,3
252270,50453,26917.76,Brazil Real,ACH,1,18,3
70,1439,332.43,US Dollar,Cheque,1,19,3
1110,15640,1566.05,US Dollar,ACH,1,19,3
70,13474,1335.36,US Dollar,Cheque,1,19,3
18990,41215,2723.51,US Dollar,ACH,1,19,3
70,154007,6326.23,Swiss Franc,Cheque,1,19,3
271241,71696,0.058475,Bitcoin,Bitcoin,1,19,3
223113,28102,928.51,US Dollar,ACH,1,19,3
126588,234717,8832.92,US Dollar,ACH,1,19,3
12274,1720,767.29,Euro,ACH,1,19,3
70,263431,1434.17,Saudi Riyal,Credit Card,1,19,3
270575,269329,0.664417,Bitcoin,Bitcoin,1,19,3
70,13821,495145.13,US Dollar,Cheque,1,20,3
219788,59004,3956.09,US Dollar,ACH,1,20,3
1217,22264,12196.07,Euro,ACH,1,20,3
1217,224,5260.9,US Dollar,ACH,1,17,4
1217,1,5907.18,US Dollar,ACH,1,20,4
1217,20,15249.24,Euro,ACH,1,7,5
1217,20,6904.98,US Dollar,ACH,1,12,5
1217,11047,8628.31,US Dollar,ACH,1,16,5
1217,19,12608.82,Australian Dollar,ACH,1,21,5
1217,1,14751.47,US Dollar,ACH,1,23,5
1217,11701,11470.47,US Dollar,ACH,1,12,6
1217,20,2848.66,US Dollar,ACH,1,13,6
1217,1768,8593.9,Euro,ACH,1,11,0
1217,498,971295.01,Euro,ACH,1,14,0
1217,11,11375.95,US Dollar,ACH,1,14,0
1217,349,1471.51,US Dollar,ACH,1,18,0
1217,1422,1553.76,US Dollar,ACH,1,19,0
423,12,18534.45,US Dollar,ACH,1,20,3
423,2514,1850.47,Euro,ACH,1,11,4
423,349,16820.62,US Dollar,ACH,1,12,4
423,20,19765.07,US Dollar,ACH,1,17,4
423,600,15738.94,Euro,ACH,1,7,5
423,20,10707.55,US Dollar,ACH,1,8,5
423,423,11331.44,Euro,ACH,1,14,5
423,20,12780.33,US Dollar,ACH,1,16,5
423,2514,2659.52,Euro,ACH,1,17,5
423,1720,8172.36,Euro,ACH,1,19,5
423,11770,13917.05,US Dollar,ACH,1,2,6
423,1776,4394.77,Euro,ACH,1,8,6
423,15,17846.21,Yuan,ACH,1,13,6
423,1120,13655.9,US Dollar,ACH,1,14,0
423,13354,7959.76,US Dollar,ACH,1,16,0
692,27,24534.5,Yuan,ACH,1,20,3
70,164686,5464.09,Saudi Riyal,Credit Card,1,20,3
13243,22435,6360.4,US Dollar,ACH,1,20,3
115216,21414,21440763.97,US Dollar,ACH,1,20,3
13354,126413,511.47,US Dollar,ACH,1,20,3
70,21260,321958.38,US Dollar,Cheque,1,20,3
70,217862,219.4,US Dollar,Cheque,1,20,3
24778,31286,1558.6,US Dollar,ACH,1,20,3
70,32125,161279.45,Euro,Cash,1,20,3
70,129765,2655.53,Euro,Cheque,1,20,3
70,15885,3326.03,Yuan,Cash,1,20,3
64059,63834,18741.7,Saudi Riyal,ACH,1,20,3
70,264772,1233.65,Saudi Riyal,Credit Card,1,20,3
1439,1231,4503.66,US Dollar,ACH,1,21,3
23571,1812,3168.59,US Dollar,ACH,1,21,3
70,24438,3200.06,US Dollar,Cheque,1,21,3
70,28102,202.08,US Dollar,Cash,1,21,3
70,215766,814.92,US Dollar,Credit Card,1,21,3
41542,141632,13837.66,Australian Dollar,ACH,1,21,3
70,157948,26722.94,Shekel,Credit Card,1,21,3
159167,61303,5683.24,Shekel,ACH,1,21,3
63834,263025,12614.56,Saudi Riyal,ACH,1,21,3
11,1231,7215.2,US Dollar,ACH,1,21,3
22031,1231,1121.36,US Dollar,ACH,1,21,3
23319,23410,439.38,US Dollar,ACH,1,21,3
70,1812,5912.83,US Dollar,Cheque,1,21,3
17831,394,6784.45,US Dollar,ACH,1,21,3
15680,13474,1599.05,US Dollar,ACH,1,21,3
12386,20,4562.57,US Dollar,ACH,1,21,3
20,21939,4722.48,US Dollar,ACH,1,5,4
21939,600,4275.02,Euro,ACH,1,12,4
600,1390,4031.09,Euro,ACH,1,19,4
1390,21939,4723.57,US Dollar,ACH,1,15,5
21939,2293,4086.89,Euro,ACH,1,17,5
2293,21444,3795.28,Euro,ACH,1,5,6
21444,394,4022.82,US Dollar,ACH,1,8,6
394,14408,3919.55,US Dollar,ACH,1,16,6
14408,20,4046.85,US Dollar,ACH,1,5,0
20,1231,3784.51,US Dollar,ACH,1,13,0
13,215,37803.22,Mexican Peso,ACH,1,21,3
72351,70997,0.165264,Bitcoin,Bitcoin,1,21,3
1776,15400,179.86,Euro,Cheque,1,22,3
112876,15461,4835.82,Euro,ACH,1,22,3
221585,221911,426729.03,Yen,ACH,1,22,3
70,136136,511.04,Canadian Dollar,Cheque,1,22,3
70,241036,9.78,Australian Dollar,Credit Card,1,22,3
11,149805,17942.77,Brazil Real,ACH,1,22,3
70,70850,1.020536,Bitcoin,Bitcoin,1,22,3
224,20,443.66,US Dollar,ACH,1,22,3
25463,115481,1416.0,US Dollar,ACH,1,22,3
70,225759,660.17,US Dollar,Credit Card,1,22,3
70,2293,2298.65,Euro,Cheque,1,22,3
169489,269999,0.046058,Bitcoin,Bitcoin,1,22,3
24557,29154,319.58,Euro,ACH,1,23,3
215278,19836,256261.48,Yen,ACH,1,23,3
119699,19414,3002605.48,Rupee,ACH,1,23,3
152926,54361,3423.18,Swiss Franc,ACH,1,23,3
24523,22185,4877.28,US Dollar,ACH,1,23,3
19856,17579,121818.16,Yen,ACH,1,23,3
70,263574,42170.48,Saudi Riyal,Cash,1,23,3
212730,22129,2972.14,US Dollar,ACH,1,0,4
70,11255,206.42,US Dollar,Credit Card,1,0,4
11047,124173,240.51,US Dollar,ACH,1,0,4
28560,24643,2864.68,Euro,ACH,1,0,4
70,130593,54604.96,Euro,Cheque,1,0,4
117521,425,3240.34,Euro,ACH,1,0,4
70,118871,3950.59,Euro,Credit Card,1,0,4
13512,12469,18058.32,Yuan,ACH,1,0,4
221840,215557,93529474.77,Yen,ACH,1,0,4
70,148698,134577.76,Brazil Real,Cash,1,0,4
32125,24029,4213.67,Euro,ACH,1,0,4
5923,26922,9380.45,Yuan,ACH,1,0,4
70,17579,211757.96,Yen,Cash,1,0,4
11701,8106,1673.57,US Dollar,ACH,1,1,4
70,139833,421012.05,US Dollar,Cheque,1,1,4
146606,8318,2544.09,US Dollar,ACH,1,1,4
11,0,1774.96,Euro,ACH,1,1,4
212854,2557,1552.38,Euro,ACH,1,1,4
70,228555,647.22,Euro,Cheque,1,1,4
70,112,1825.86,Shekel,Cheque,1,1,4
22124,18493,2644.41,US Dollar,ACH,1,1,4
146058,28665,3438.0,Euro,ACH,1,1,4
8,25,3141.62,UK Pound,ACH,1,1,4
241503,241503,3314.25,Australian Dollar,ACH,1,1,4
70,63587,43958.81,Saudi Riyal,Credit Card,1,1,4
70,1394,404.32,US Dollar,Cash,1,2,4
18,64657,15704.73,Saudi Riyal,ACH,1,2,4
12204,1231,95.66,US Dollar,ACH,1,2,4
70,11661,15307.42,US Dollar,Cash,1,2,4
11222,118699,1674.1,US Dollar,ACH,1,2,4
70,125980,1192.42,US Dollar,Credit Card,1,2,4
70,17180,149687.95,Yen,Credit Card,1,2,4
41019,41335,6533.26,Australian Dollar,ACH,1,2,4
70,160604,1839.58,Shekel,Cash,1,2,4
165362,63834,14677.42,Saudi Riyal,ACH,1,2,4
70,12204,1269.96,US Dollar,Cash,1,3,4
3440,22124,4279.98,US Dollar,ACH,1,3,4
5687,26179,980.24,US Dollar,ACH,1,3,4
70,11701,17.1,US Dollar,Cash,1,3,4
70,24557,10.08,Euro,Cash,1,3,4
70,114948,3494.63,Euro,Credit Card,1,3,4
70,224266,842.37,Euro,Cheque,1,3,4
210812,15885,21810.05,Yuan,ACH,1,3,4
70,17213,2104114.49,Yuan,Cheque,1,3,4
135925,138237,2359.74,Canadian Dollar,ACH,1,3,4
248575,150841,12213.7,Brazil Real,ACH,1,3,4
70,21828,9533.11,US Dollar,Cheque,1,3,4
122996,215766,4627.86,US Dollar,ACH,1,3,4
162149,22432,36540.81,US Dollar,ACH,1,3,4
129765,27868,23125.53,Euro,ACH,1,3,4
119699,19414,125532.37,Rupee,ACH,1,3,4
70,30959,555685.5,Ruble,Cheque,1,3,4
70,12966,130.69,US Dollar,Credit Card,1,4,4
70,11880,2785.62,US Dollar,Credit Card,1,4,4
70,116342,5016.83,US Dollar,Cheque,1,4,4
70,227639,4423.34,US Dollar,Credit Card,1,4,4
116299,18624,30589.01,Euro,ACH,1,4,4
70,692,2206.64,Yuan,Cheque,1,4,4
110682,110593,10169.37,Yuan,ACH,1,4,4
29572,4,398898.29,Yen,ACH,1,4,4
70,226259,521241.02,Rupee,Credit Card,1,4,4
70,33858,71.23,UK Pound,Credit Card,1,4,4
70,45977,21694.16,Mexican Peso,Credit Card,1,4,4
11,210,39074.43,Brazil Real,ACH,1,4,4
18,21444,16804.21,Euro,ACH,1,4,4
1422,21444,16498.37,Euro,ACH,1,13,4
12,21444,14457.72,Euro,ACH,1,9,5
1110,21444,1785.38,Euro,ACH,1,10,6
1231,21444,1747.06,Euro,ACH,1,18,6
224,21444,16120.75,Euro,ACH,1,8,0
70,13210,840.95,US Dollar,Credit Card,1,4,4
70,234933,332.02,US Dollar,Cheque,1,4,4
70,11314,37767.91,Euro,Cheque,1,4,4
70,29,193200879.45,UK Pound,Cheque,1,4,4
70,35777,1615.18,Canadian Dollar,Credit Card,1,4,4
70,1135,2182120.57,Mexican Peso,Cheque,1,4,4
70,13354,34.97,US Dollar,Cash,1,5,4
5687,3202,4817.65,US Dollar,ACH,1,5,4
70,20,104.96,US Dollar,Credit Card,1,5,4
70,126991,19659.56,US Dollar,Credit Card,1,5,4
70,7058,6737.55,Euro,Credit Card,1,5,4
230595,232081,1960632.03,Ruble,ACH,1,5,4
70,134744,6276.17,UK Pound,Credit Card,1,5,4
22086,5206,754.88,US Dollar,ACH,1,5,4
70,116648,263.1,US Dollar,Cheque,1,5,4
70,4187,3083.57,US Dollar,Cheque,1,5,4
425,423,7434.22,Euro,ACH,1,5,4
423,11,7485.79,Euro,ACH,1,17,5
70,7058,7853.69,Euro,Credit Card,1,5,4
22260,19622,2935.65,Euro,ACH,1,5,4
119699,25520,168268.88,Rupee,ACH,1,5,4
70,23494,75947.59,Rupee,Credit Card,1,5,4
70,19,23782.67,Australian Dollar,Cheque,1,5,4
49411,11,20862.76,Brazil Real,ACH,1,5,4
152907,252477,1400.13,Swiss Franc,ACH,1,5,4
70,58138,11438.38,Shekel,Credit Card,1,5,4
270308,69314,0.295701,Bitcoin,Bitcoin,1,5,4
136393,236628,1755.72,US Dollar,ACH,1,6,4
70,3460,1308.12,Euro,Credit Card,1,6,4
14851,16505,6263.77,Euro,ACH,1,6,4
70,20737,152.39,Euro,Cash,1,6,4
70,264772,24718.15,Saudi Riyal,Credit Card,1,6,4
116473,11968,518.81,US Dollar,ACH,1,6,4
63122,223135,557.98,Euro,ACH,1,6,4
23,12,276150.19,Yen,ACH,1,6,4
70,235735,6194.24,Canadian Dollar,Cheque,1,6,4
22364,21547,6283.11,US Dollar,ACH,1,18,5
21547,11770,6581.95,US Dollar,ACH,1,10,6
22547,26922,56842.37,Yuan,ACH,1,1,5
26922,118939,7242.79,Euro,ACH,1,18,0
118536,219368,16418.21,US Dollar,ACH,1,10,5
219368,18121,13772.01,Euro,ACH,1,22,5
12274,11222,13207.15,US Dollar,ACH,1,16,4
11222,249331,77760.62,Brazil Real,ACH,1,17,6
6045,15885,91804.56,Yuan,ACH,1,10,5
15885,210472,13110.69,US Dollar,ACH,1,16,6
136606,215107,9710.83,US Dollar,ACH,1,8,4
215107,230233,8287.22,Euro,ACH,1,20,6
5893,14133,3599.89,US Dollar,ACH,1,7,4
